step,variable_added,r_squared,aic,formula
1,SW_IN_F_MDS,0.3858924654302564,104838.4195271449,GPP_NT_VUT_REF ~ SW_IN_F_MDS
2,LW_IN_F,0.4676457693988976,101553.04653369001,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F
3,siteid,0.5306524113702143,98660.45455887576,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid
4,VPD_F_MDS,0.5482727893696453,97781.93542806225,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS
5,TA_F_MDS,0.5727553601774709,96501.7232700509,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS
6,PPFD_IN,0.5768967278377756,96279.58497713534,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN
7,WS_F,0.580235607574336,96099.2755429714,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F
8,USTAR,0.5820070472177307,96003.96178351833,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR
9,PA_F,0.5832656189008231,95936.57142388757,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F
10,P_F,0.583890928880024,95904.01748557697,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F
11,CO2_F_MDS,0.5844408317197072,95875.5875244734,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F+CO2_F_MDS
12,LW_IN_F_MDS,0.5847829891233908,95858.63323892969,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F+CO2_F_MDS+LW_IN_F_MDS
13,VPD_F,0.5850598046375147,95845.28722498506,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F+CO2_F_MDS+LW_IN_F_MDS+VPD_F
14,SW_IN_F,0.585669426499981,95813.45506369126,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F+CO2_F_MDS+LW_IN_F_MDS+VPD_F+SW_IN_F
15,TIMESTAMP,0.585779384130272,95809.34745059999,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F+CO2_F_MDS+LW_IN_F_MDS+VPD_F+SW_IN_F+TIMESTAMP
16,TA_F,0.5858462230099605,95807.63408264198,GPP_NT_VUT_REF ~ SW_IN_F_MDS+LW_IN_F+siteid+VPD_F_MDS+TA_F_MDS+PPFD_IN+WS_F+USTAR+PA_F+P_F+CO2_F_MDS+LW_IN_F_MDS+VPD_F+SW_IN_F+TIMESTAMP+TA_F
